Category,Name,Value,Matchup,Payout,Timestamp
Points,Nikola Jokic,29.50.5,vs OKC Sun 12:30pm,Money Mouth,2025-05-17 19:03:46
Points,Jamal Murray,15.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Jamal Murray,24.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Jamal Murray,29.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Jamal Murray,26.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Jamal Murray,17.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Jamal Murray,19.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Jamal Murray,21.5,vs OKC Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Michael Porter Jr.,14.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Michael Porter Jr.,5.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Michael Porter Jr.,8.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Michael Porter Jr.,11.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Michael Porter Jr.,7.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Michael Porter Jr.,10.5,vs OKC Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Michael Porter Jr.,13.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Luguentz Dort,9,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Luguentz Dort,7.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Luguentz Dort,6.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Luguentz Dort,11.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Luguentz Dort,14.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Luguentz Dort,5.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Luguentz Dort,9.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Aaron Gordon,12,vs OKC Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Aaron Gordon,17.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Aaron Gordon,19.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Aaron Gordon,9.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Aaron Wiggins,9.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Aaron Wiggins,7.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Aaron Wiggins,11.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Aaron Wiggins,4.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Christian Braun,8.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Christian Braun,9.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Christian Braun,13.5,vs OKC Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Christian Braun,11.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Christian Braun,19.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Christian Braun,14.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Christian Braun,17.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Jalen Williams,24.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Jalen Williams,14.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Jalen Williams,29.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Jalen Williams,17.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Jalen Williams,19.5,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Jalen Williams,15.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Chet Holmgren,13.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Chet Holmgren,19.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Chet Holmgren,10.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Chet Holmgren,20.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Chet Holmgren,14.5,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Chet Holmgren,17.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Chet Holmgren,11.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Cason Wallace,7.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Cason Wallace,11.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Cason Wallace,5.5,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Cason Wallace,4.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Cason Wallace,9.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Shai Gilgeous-Alexander,39.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Shai Gilgeous-Alexander,31.5,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Shai Gilgeous-Alexander,29.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Shai Gilgeous-Alexander,34.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Shai Gilgeous-Alexander,25.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Shai Gilgeous-Alexander,24.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Nikola Jokic,24.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Nikola Jokic,23.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Nikola Jokic,34.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Nikola Jokic,29.5,vs OKC Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Nikola Jokic,39.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Nikola Jokic,22.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Nikola Jokic,35.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Alex Caruso,5.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Alex Caruso,9.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Alex Caruso,6.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Alex Caruso,14.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Alex Caruso,11.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Alex Caruso,7.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Alex Caruso,8.5,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Russell Westbrook,5.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Russell Westbrook,14.5,vs OKC Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Russell Westbrook,11,vs OKC Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Russell Westbrook,9.5,vs OKC Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Isaiah Hartenstein,10,vs DEN Sun 12:40pm,Standard,2025-05-17 19:03:46
Points,Isaiah Hartenstein,11.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Isaiah Hartenstein,14.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Isaiah Hartenstein,7.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Isaiah Hartenstein,17.5,vs DEN Sun 12:40pm,Demon,2025-05-17 19:03:46
Points,Isaiah Hartenstein,9.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Isaiah Hartenstein,6.5,vs DEN Sun 12:40pm,Goblin,2025-05-17 19:03:46
Points,Myles Turner,10.5,vs NYK Wed 5:10pm,Goblin,2025-05-17 19:03:46
Points,Myles Turner,24.5,vs NYK Wed 5:10pm,Demon,2025-05-17 19:03:46
Points,Myles Turner,21.5,vs NYK Wed 5:10pm,Demon,2025-05-17 19:03:46
Points,Myles Turner,15.5,vs NYK Wed 5:10pm,Standard,2025-05-17 19:03:46
Points,Myles Turner,14.5,vs NYK Wed 5:10pm,Goblin,2025-05-17 19:03:46
Points,Myles Turner,11.5,vs NYK Wed 5:10pm,Goblin,2025-05-17 19:03:46
Points,Myles Turner,19.5,vs NYK Wed 5:10pm,Demon,2025-05-17 19:03:46
